id,nombre,unidad,categoria,tipo,stock_actual
c385,SPONGOSTAN,un,Suturas,descartables,25
c398,SURGICEL,un,Suturas,descartables,168
c386,SUTURA BIOSYN 0 (MONOCRYL),un,Suturas,descartables,27
c1987,SUTURA BIOSYN 2/0,un,Suturas,descartables,36
c1138,SUTURA BIOSYN 3/0 AGUJA RED.,un,Suturas,descartables,36
c769,SUTURA BIOSYN 3/0 AGUJA TRIANGULAR,un,Suturas,descartables,42
c392,SUTURA BIOSYN 4/0,un,Suturas,descartables,31
c393,SUTURA BIOSYN 5/0,un,Suturas,descartables,36
c459,SUTURA CATGUT Nº 0,un,Suturas,descartables,0
c460,SUTURA CATGUT Nº 1,un,Suturas,descartables,168
c461,SUTURA CATGUT Nº 2 (LENTO),un,Suturas,descartables,240
c1988,SUTURA CROMICO,un,Suturas,descartables,0
c381,SUTURA CERA PARA HUESO,un,Suturas,descartables,12
c1989,SUTURA DE LINO 0,un,Suturas,descartables,19
c495,SUTURA LINO 100,un,Suturas,descartables,17
c489,SUTURA LINO 20,un,Suturas,descartables,5
c490,SUTURA LINO 30,un,Suturas,descartables,9
c491,SUTURA LINO 40 (SOBRES),un,Suturas,descartables,8
c492,SUTURA LINO 50,un,Suturas,descartables,15
c493,SUTURA LINO 60,un,Suturas,descartables,16
c494,SUTURA LINO 80,un,Suturas,descartables,8
c1132,SUTURA MONOCRYL 0 (NARANJA),un,Suturas,descartables,0
c387,SUTURA MONONYLON 2/0 AGUJA TRIANGULAR,un,Suturas,descartables,67
c388,SUTURA MONONYLON 3/0 AGUJA TRIANGULAR,un,Suturas,descartables,26
c389,SUTURA MONONYLON 4/0 AGUJA TRIANGULAR,un,Suturas,descartables,38
c391,SUTURA MONONYLON 5/0 AGUJA TRIANGULAR,un,Suturas,descartables,2
c395,SUTURA MONONYLON 6/0 AGUJA TRIANGULAR,un,Suturas,descartables,24
c771,SUTURA POLICRYL 4/0,un,Suturas,descartables,65
c1992,PDS,un,Suturas,descartables,24
c360,SUTURA PROLENE 0,un,Suturas,descartables,36
c1991,SUTURA PROLENE 2 TRAUMA 77MM,un,Suturas,descartables,10
