id,nombre,presentacion,unidad,categoria,tipo_origen
c385,SPONGOSTAN,,un,Suturas,Suturas
c398,SURGICEL,,un,Suturas,Suturas
c386,SUTURA BIOSYN 0 (MONOCRYL),,un,Suturas,Suturas
c1987,SUTURA BIOSYN 2/0,,un,Suturas,Suturas
c1138,SUTURA BIOSYN 3/0 AGUJA RED.,,un,Suturas,Suturas
c769,SUTURA BIOSYN 3/0 AGUJA TRIANGULAR,,un,Suturas,Suturas
c392,SUTURA BIOSYN 4/0,,un,Suturas,Suturas
c393,SUTURA BIOSYN 5/0,,un,Suturas,Suturas
c459,SUTURA CATGUT Nº 0,,un,Suturas,Suturas
c460,SUTURA CATGUT Nº 1,,un,Suturas,Suturas
c461,SUTURA CATGUT Nº 2 (LENTO),,un,Suturas,Suturas
c1988,SUTURA CROMICO,,un,Suturas,Suturas
c381,SUTURA CERA PARA HUESO,,un,Suturas,Suturas
c1989,SUTURA DE LINO 0,,un,Suturas,Suturas
c495,SUTURA LINO 100,,un,Suturas,Suturas
c489,SUTURA LINO 20,,un,Suturas,Suturas
c490,SUTURA LINO 30,,un,Suturas,Suturas
c491,SUTURA LINO 40 (SOBRES),,un,Suturas,Suturas
c492,SUTURA LINO 50,,un,Suturas,Suturas
c493,SUTURA LINO 60,,un,Suturas,Suturas
c494,SUTURA LINO 80,,un,Suturas,Suturas
c1132,SUTURA MONOCRYL 0 (NARANJA),,un,Suturas,Suturas
c387,SUTURA MONONYLON 2/0 AGUJA TRIANGULAR,,un,Suturas,Suturas
c388,SUTURA MONONYLON 3/0 AGUJA TRIANGULAR,,un,Suturas,Suturas
c389,SUTURA MONONYLON 4/0 AGUJA TRIANGULAR,,un,Suturas,Suturas
c391,SUTURA MONONYLON 5/0 AGUJA TRIANGULAR,,un,Suturas,Suturas
c395,SUTURA MONONYLON 6/0 AGUJA TRIANGULAR,,un,Suturas,Suturas
c771,SUTURA POLICRYL 4/0,,un,Suturas,Suturas
c1992,PDS,,un,Suturas,Suturas
c360,SUTURA PROLENE 0,,un,Suturas,Suturas
c1991,SUTURA PROLENE 2 TRAUMA 77MM,,un,Suturas,Suturas
c1990,SUTURA PROLENE 2 TRAUMA 75MM,,un,Suturas,Suturas
c394,SUTURA PROLENE 1,,un,Suturas,Suturas
c361,SUTURA PROLENE 2/0,,un,Suturas,Suturas
c376,SUTURA PROLENE 3/0 PUNTA REDONDA,,un,Suturas,Suturas
c1962,SUTURA PROLENE 3/0 PUNTA TRIANGULAR,,un,Suturas,Suturas
c1923,SUTURA PROLENE 4/0 PUNTA REDONDA,,un,Suturas,Suturas
c378,SUTURA PROLENE 4/0 PUNTA TRIANGULAR,,un,Suturas,Suturas
c10157,SUTURA PROLENE 5/0,,un,Suturas,Suturas
c10104,SUTURA PROLENE 6/0,,un,Suturas,Suturas
c1677,SUTURA REABSORVIBLE V-LOC 180 0 30CM,,un,Suturas,Suturas
c1678,SUTURA REABSORVIBLE V-LOC 180 3/0 V-20,,un,Suturas,Suturas
c10165,SUTURA SEDA 2/0 AGUJA REDONDA,,un,Suturas,Suturas
c226,SUTURA SEDA 3/0 AGUJA REDONDA,,un,Suturas,Suturas
c193,SUTURA SEDA 4/0 AGUJA REDONDA,,un,Suturas,Suturas
c379,SUTURA SEDA 5/0 AGUJA REDONDA,,un,Suturas,Suturas
c10166,SUTURA SEDA 6/0 AGUJA TRIANGULAR,,un,Suturas,Suturas
c358,SUTURA VICRYL 0 (GL-124 PTA REDONDA 26 MM),,un,Suturas,Suturas
c1741,SUTURA VICRYL 0 40MM (TRAUMATOLOGOS),,un,Suturas,Suturas
c809,SUTURA VICRYL 1 (CL-803 PTA REDONDA 40 MM),,un,Suturas,Suturas
c356,SUTURA VICRYL 2 (CL-937 PTA TRIANGULAR 40 MM),,un,Suturas,Suturas
c1546,SUTURA VICRYL 2 (PUNTA REDONDA 40 MM),,un,Suturas,Suturas
c359,SUTURA VICRYL 2/0 ( PUNTA REDONDA 26 MM),,un,Suturas,Suturas
c300,SUTURA VICRYL 3/0 ( PUNTA REDONDA 26 MM),,un,Suturas,Suturas
c1935,SUTURA VICRYL 3/0 ( PUNTA REDONDA 20 MM),,un,Suturas,Suturas
c1936,SUTURA VICRYL 3/0 ( PUNTA REDONDA 37 MM),,un,Suturas,Suturas
c10106,SUTURA VICRYL 4/0 ( PUNTA REDONDA 26 MM),,un,Suturas,Suturas
c354,SUTURA VICRYL 5/0 ( AGUJA 15 MM),,un,Suturas,Suturas
c353,SUTURA VICRYL 6/0,,un,Suturas,Suturas
