id,nombre,presentacion,unidad,categoria
c278,AAS 100 MG ASPIRINETA COMP,ASPIRINETAS comp.x 28,comp,A
c990,ACEMUK COM EFERVESCENTE (ACETILCISTEINA),ACEMUK 600 mg tab.efer.x 10,un,A
c665,"ACICLOVIR AMP 500 MG F, A,",TENSEUR HA CONTORNO DE OJOS airless x 15 gr,amp,A
c1972,ACICLOVIR COMP 400 MG,,comp,A
c1865,ACICLOVIR COMP 800 MG,,comp,A
c1213,ACIDO TRANEXAMICO 1000 MG X 10 ML,TRANEXAL 1000 1000 mg I.V.a. x 10 ml,un,A
c283,ADENOCINA AMP,ADENOSINA BIOL 3 mg/ml a.x 10 x 2 ml,amp,A
c284,ADRENALINA AMP,ADRENALINA BIOL 1o/oo a.x 10 x 1 ml,amp,A
c10567,AET AL 2% AMP (POLIDOCANOL),AET 2% iny.a.x 2 x 2 ml,amp,A
c1150,ALBICAR SOL BEBIBLE (L-CARNITINA),ALBICAR sol.a.beb.x 30,un,A
c1187,ALBUMINA HUMANA 20% UNC,ALBUREX f.a.x 1 x 50 ml,un,A
c987,ALDOMET 500 MG COMP (METILDOPA),ALDOMET 500 mg comp.rec.x 30,comp,A
c2021,ALIMENTACION DIBEN X 200 ML KABI,,un,A
c648,ALIMENTACION DIBEN X 500 ML EB,DIBEN env.x 500 ml,un,A
c639,ALIMENTACION FREBINI ENERGY DRINK,FREBINI ENERGY DRINK FIBRA Vainilla env.x 200 ml,un,A
c638,ALIMENTACION FREBRINI ORIGINAL SACHET,FREBINI ORIGINAL env.x 500 ml,un,A
c1379,ALIMENTACION FRESUBIN 2 KCAL DRINK (vainilla),FRESUBIN 2 KCAL DRINK Vainilla env.x 200 ml,un,A
c653,ALIMENTACION FRESUBIN ENERGY,FRESUBIN ENERGY Neutro env.x 500 ml,un,A
c1122,ALIMENTACION FRESUBIN HP ENERGY,FRESUBIN HP ENERGY Neutro env.x 500 ml,un,A
c637,ALIMENTACION FRESUBIN ORIGINAL,FRESUBIN ORIGINAL env.flexible x 1000 ml,un,A
c1971,ALIMENTACION FRESUBIN ORIGINAL (1 LT),,un,A
c1953,ALIMENTACION FRESUBIN ORIGINAL FIBRA (1 LT),,un,A
g1,ALIMENTACION INTENSIVE 500 ML,,un,A
c1970,ALIMENTACION JEVITY PLUS,,un,A
c422,ALIMENTACION PARENTERAL DE 2300 CALORIAS,,un,A
c419,ALIMENTACION SMOFKAVIBEN CENTRAL X 1970,SMOFKABIVEN CENTRAL Bolsa x 1970 ml,un,A
c1815,ALIMENTACION SMOFKAVIBEN EXTRANITROGEN 2025 ML.,,un,A
c1399,ALIMENTACION SUPPORTAN,,un,A
c1861,ALIMENTACION SUPPORTAN DRINK,,un,A
c1973,ALOPURINOL 300 MG X 10 COMP,,comp,A
c147,AMBISOME 50 MG FA,AMBISOME 50 mg f.a.x 1 +disolv.,un,A
c916,AMIKACINA DE 100 MG INY,RIKLINAK 100 mg iny.f.a.x 2 ml,un,A
cA917,AMIKACINA DE 500 MG INY,AMIKACINA KLONAL 500 mg iny.x 2 ml .x 100,un,A
c293,AMINOFILINA AMP (240 MG X 10 ML),AMINOFILINA NORGREEN 240 mg a.x 1 x 10 ml,amp,A
c294,AMIODARONA AMP (150 MG X 3 ML) (ATLANSIL),AMIODARONA NORTHIA 150 mg a.x 25 x 3 ml,amp,A
c989,AMOXI+CLAVULANICO COMP 1 GR,AMOXICILINA CLAVULANICO 7:1 RI 875/125mg comp.x14(,comp,A
c296,"AMPICILINA + SULBACTAM F.A. INY 1,5 MG (AMPIGEN)",AMPICILINA + SULBACTAM DRAWER  1.5 g iny.f.a.x 100,un,A
c295,AMPICILINA 1 GR F. A. INY (COMUN),AMPICILINA DRAWER 1000 mg f.a.x 100,un,A
c298,ANFOTERICINA 50 MG EN LIPOSOMAS F. A. INY,AMBISOME 50 mg f.a.x 1 +disolv.,un,A
c1746,ANFOTERICINA B 50 MG,ANFOTERICINA B NORTHIA 50 mg iny. I.V. f.a.x 5,un,A
c1010,ARGOCIAN (25 MCG AMP),ARGOCIAN 25 mcg/5 ml iny.a.x 5,amp,A
c1703,ATRACURIO,ATRACURIUM NORTHIA 10 mg a.x 25,un,A
c299,ATROPINA 1 ML AMP,SULFATO DE ATROPINA BIOL a.x 100 x 1 ml,amp,A
c1149,AZITROMICINA 500 MG COMP,AZITROMICINA RICHET 500 mg comp.x 5,comp,A
c305,BACLOFENO COMP (10 MG),FLIMAB 10 mg comp.x 50,comp,B
c918,BACTRIM AMP,BACTRIM IV a.x 5 x 5 ml,amp,B
